by,id,score,time,title,type,url
kanjun,29974622,1,"Generally Intelligent is an AI research company. Our mission is to build human-like general intelligence and make it safely accessible in order to foster a more abundant, unconstrained, and equitable society. We take a first-principles approach, starting from simple self-supervised architectures and evolving them to tackle human developmental milestones of increasing complexity.<p>Systems Engineer role (no ML experience required): <a href=""https:&#x2F;&#x2F;jobs.lever.co&#x2F;generallyintelligent&#x2F;7afede07-8f22-4c49-b247-19e1a0ca6953"" rel=""nofollow"">https:&#x2F;&#x2F;jobs.lever.co&#x2F;generallyintelligent&#x2F;7afede07-8f22-4c4...</a><p>If you do have ML experience, see the Machine Learning<p>Research Engineer role: <a href=""https:&#x2F;&#x2F;jobs.lever.co&#x2F;generallyintelligent&#x2F;c2f4a435-1eef-489a-9972-fba95e4a0296"" rel=""nofollow"">https:&#x2F;&#x2F;jobs.lever.co&#x2F;generallyintelligent&#x2F;c2f4a435-1eef-489...</a><p>Our YC jobs page is here: <a href=""https:&#x2F;&#x2F;www.ycombinator.com&#x2F;companies&#x2F;generally-intelligent"" rel=""nofollow"">https:&#x2F;&#x2F;www.ycombinator.com&#x2F;companies&#x2F;generally-intelligent</a>",1642475928,"Generally Intelligent (YC S17) Is Hiring Systems Engineers (Remote, SF)",job
fitzrocks,29968621,1,1642438848,Freshpaint (YC S19) Is Hiring – Head of Marketing,job,https://www.ycombinator.com/companies/freshpaint/jobs/9JGTh1N-head-of-marketing
Equiet,29965708,1,1642420821,Deepnote (YC S19) is hiring to build a better data science notebook (Europe),job,https://deepnote.com/join-us
akircher,29955269,1,"SIRUM is making medications affordable for all. We’re a small (~30) but quickly growing team that’s passionate about our mission of reimagining healthcare access for those in need. We come from organizations like McKinsey, the Clinton Foundation, and Stanford Biology.
We like to solve tough problems and are determined to improve healthcare access for families who have trouble affording the medications they need to stay healthy.<p>We are currently hiring for our Atlanta Offices as well as some fully remote roles. We have opportunities for staff&#x2F;principal software developers and product managers who are ex-developers.<p>If you want to work in healthcare, were going to make a new year&#x27;s resolution to find mission-driven work, and thrive in a startup environment, then we may be a good fit. If you see a position that you like then apply at <a href=""https:&#x2F;&#x2F;boards.greenhouse.io&#x2F;sirum"" rel=""nofollow"">https:&#x2F;&#x2F;boards.greenhouse.io&#x2F;sirum</a>. Even if you don’t see something that’s the right fit right now, email adam -at- sirum.org - we love hearing from folks on hackernews who share our mission.",1642334419,Sirum (YC W15) is hiring developers to help uninsured people afford medicine,job
Gabriel_h,29945729,1,"Hey HN, I&#x27;m Gabriel, founder of Meticulous.<p>Our mission is to make the world&#x27;s code safe, performant and reliable. We&#x27;re starting with a tool to catch JavaScript regressions in web applications with zero-effort from developers.<p>How it works: Insert a single line of JavaScript onto your site, and we record thousands of real user sessions. We then replay these sessions on new code to automatically catch bugs before they hit production. You can watch a 60-second demo at meticulous.ai.<p>We are a London-based YC company. Our team previously worked at Dropbox, Opendoor and Google. We just raised $4m, and are backed by some of the best founders and technical leaders in Silicon Valley, including Guillermo Rauch (founder Vercel, author next.js), Jason Warner (CTO GitHub), Scott Belsky (CPO Adobe), Calvin French-Owen (founder Segment), Jared Friedman (YC partner and former CTO of Scribd) and a bunch of other incredible folks.<p>Catching JavaScript regressions is just the start. There is an entire category of products to build on top of replay. This ranges from automatic UI previews to revealing the performance impact of frontend code.<p>We want to change the way the world develops software, and influence software approaches for decades to come.<p>We are hiring an onsite founding engineer to join our team of two.<p>You will have autonomy in building out this technology, but here are a few problems you might work on:<p>- Build a distributed system to concurrently replay thousands of sessions, such that a developer gets a result in seconds.<p>- Speed up the replay of sessions in a way that retains determinism.<p>- Derive algorithms to detect sessions that cover differing code paths and edge cases, and ignore sessions that are too similar.<p>- Help build out a team of world-class, highly collaborative, software engineers.<p>As founding engineer, you get to shape the company, and build the culture and technology from the ground up.<p>What we look for:<p>In a sentence: Technically brilliant, delightful to work with, combined with a self-awareness and strong desire to improve.<p>We&#x27;re currently only looking to bring on folks with mid-to-senior level skill sets. You should have strong web fundamentals and a deep love for software engineering. Maybe you enjoy programming books like Clean Code, Designing Data Intensive Applications, Pragmatic Programmer etc. or enjoy hacking on interesting side projects. You value transparency and candid feedback, and are driven by a strong desire to become the best engineer you can be.<p>What you get:<p>Compensation: We want outrageously talented individuals. This means we offer commensurately outrageous equity grants. The equity grant will be 2% or greater (a 2% grant is $600k at last valuation) with employee-friendly terms (10 year exercise window on options). We pay £100k-£150k in base salary, along with top of line benefits and perks. You can read about our values here <a href=""https:&#x2F;&#x2F;sumptuous-lungfish-609.notion.site&#x2F;Meticulous-values-ab2b90d3324447d58f0720481081c9a6"" rel=""nofollow"">https:&#x2F;&#x2F;sumptuous-lungfish-609.notion.site&#x2F;Meticulous-values...</a><p>Learning: You will be given the space and time to up-level yourself as an engineer in terms of conferences, reading, or whatever you think will be most valuable. We will also set you up with mentorship, if you desire it, from top engineering leaders (folks running 100-engineer organizations at the world&#x27;s leading tech companies).<p>If this sounds interesting, please reach out to me at gabe [at] meticulous [dot] ai with “HN” in the subject line and 2-3 sentences about what you find interesting about Meticulous and your resume&#x2F;LinkedIn&#x2F;GitHub.",1642248026,Meticulous (YC S21) Is Hiring #2 founding engineer in London,job
kennandavison,29940357,1,1642194012,Skio (YC S20) is hiring founding engineers in NYC,job,https://skio.com/careers
swampthing,29936959,1,1642179626,Clerky is hiring senior full-stack software engineers (Ruby on Rails),job,https://jobs.lever.co/clerky/295375d9-c3d9-4ec8-99e0-bc5ac6232a64?lever-origin=applied&lever-source%5B%5D=Hacker%20News
romming,29933419,1,1642161601,Etleap (YC W13) Is Hiring Software Engineer – London,job,https://etleap.com/jobs/#software-engineer
pdanny95,29931397,1,1642143654,Kanda (YC W21) Is Hiring,job,https://www.ycombinator.com/companies/kanda/jobs/VEoVEkN-vp-of-engineering-at-kanda
rickdeaconx,29929243,1,1642122015,Interlock/Apozy (YC W17) Is Hiring,job,https://interlock.breezy.hr/p/9ebe62d7d2cb
russelln,29926778,1,"Hi all! We are looking for frontend and full stack engineers to help us democratize deep learning for manufacturing and industrials. We have an all-star deep learning team and want engineers who can work with us to build out customer facing tools to expose our state of the art algorithms directly to the customer. You will learn a ton about manufacturing and deep learning. The front end work will be very interesting, leveraging real time technologies as well as trying to optimize a massive amount of imaging data. Interested in the challenge? Reach out to me at russell@overview.ai or apply directly <a href=""https:&#x2F;&#x2F;jobs.lever.co&#x2F;Overview"" rel=""nofollow"">https:&#x2F;&#x2F;jobs.lever.co&#x2F;Overview</a>",1642107642,Overview (YC W19) Is Hiring Front End/Full Stack for Manufacturing/DL Platform,job
KMinshew,29923193,1,1642093235,The Muse (YC W12) Is Hiring a Senior Dev Ops Engineer,job,https://www.themuse.com/jobs/themuse/senior-dev-ops-engineer
sangwen,29919758,1,1642075211,Smarking (YC W15) Is Hiring Head of Eng to empower and grow eng team,job,https://jobs.lever.co/smarking/91ecceff-db7b-463f-bd6e-c348bcaec567
nhourcard,29917667,1,1642057250,QuestDB (YC S20) Is Hiring a Developer in Test (Java),job,https://questdb.io/careers/developer-in-test
the_economist,29912613,1,1642021266,BuildZoom (better way to build custom homes) is hiring a head of growth,job,https://jobs.lever.co/buildzoom
rogerkirkness,29905192,1,1641988843,Convictional (YC W19) hiring engineers to build the future of B2B trade (Remote),job,https://jobs.ashbyhq.com/convictional/91fa08f9-0850-4429-9000-19c1f5fe9ef3
jrdngonen,29898267,1,1641936704,Compound (YC S19) is hiring to build financial products for tech employees,job,https://withcompound.com/
ruisu,29894258,1,1641921003,MedMe Health (YC W21) is Hiring a Director of Engineering and Senior Engineers,job,https://jobs.lever.co/bloom?team=MedMe
paulgross,29890462,1,"Remora (YC W21) builds a device that captures a semi-truck’s carbon emissions directly from the tailpipe. We sell the CO2 to end-users who can store it away for a long time. We split that revenue with our customers, so the device pays for itself in just a couple years.<p>We’re looking for all kinds of new team members — from growth to policy to recruiting to all manner of engineers (software, electrical, mechanical, chemical).<p>We’re also building our leadership team, starting with directors of operations, supply chain&#x2F;manufacturing, mechanical engineering, R&amp;D, and controls&#x2F;electronics.<p>If you want to help build carbon capture for semi-trucks, apply now at remoracarbon.com&#x2F;jobs.",1641902438,Remora (YC W21) is hiring – carbon capture for semi-trucks,job
Liron,29885619,1,1641862849,Relationship Hero (YC S17) Is Hiring Customer Support – Full Time Remote,job,https://relationshiphero.com/careers?role=customerSupport
dtran,29882364,1,1641848447,Flow Club (YC S21) is hiring our first marketer,job,https://flowclub.notion.site/Work-at-Flow-Club-1e6cc84bfc0d4463ab333ee9bc02c46a
gdeglin,29873482,1,1641816103,OneSignal (YC S11) Is Hiring Engineers to Power the World's Messages,job,https://onesignal.com/careers/47cfa966-9689-400b-8d86-fd2707a6f045
jstreebin,29867293,1,1641762061,EasyPost (YC S13) Is Hiring Remote,job,https://www.easypost.com/careers
adarnon,29865069,1,1641747657,SafeBase (YC S20) Is Hiring,job,https://www.ycombinator.com/companies/safebase/jobs/llXGC7Jbk-senior-full-stack-engineer
